ID | Title | Year | Type | Poster
------------------------------------------------------------------------------------------------------------------------
0 | فيلم باكي هانما ضد كينغان اشورا 2024 مدبلج | 2024 | movie | https://egydead.fyi/wp-content/uploads/2024/06/%D9%81%D9%8A%D9%84%D9%85-%D8%A8%D8%A7%D9%83%D9%8A-%D9%87%D8%A7%D9%86%D9%85%D8%A7-%D8%B6%D8%AF-%D9%83%D9%8A%D9%86%D8%BA%D8%A7%D9%86-%D8%A7%D8%B4%D9%88%D8%B1%D8%A7-2024-%D9%85%D8%AF%D8%A8%D9%84%D8%AC.jpg
1 | فيلم المحقق كونان 26 الغواصة الحديدية السوداء 2023 مدبلج | 2023 | movie | https://media0101.elcinema.com/uploads/_320x_6c98dd19284cfe3173343c33af64fa4c1079d19840bd79d085bba6c6c3bc1d3e.jpg
2 | Ooyukiumi no Kaina Hoshi no Kenja | 2023 | movie | https://tuktukhd.com/wp-content/uploads/2023/12/MV5BOTZhODgzNDAtMWVkZS00MTIyLWFlMjItMTQxMDExMjU0NjI2XkEyXkFqcGdeQXVyODMyNTM0MjM@.jpg_V1_SX700.webp
3 | Psycho-Pass Movie Providence | 2023 | movie | https://tuktukhd.com/wp-content/uploads/2023/12/MV5BZmE1NzFhYmMtM2U1MC00NzE2LWI0NTctNWIzZGEwYjE3MTYwXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.webp
4 | Hello World  | 2019 | movie | https://egydead.fyi/wp-content/uploads/2023/12/%D9%81%D9%8A%D9%84%D9%85-Hello-World-2019-%D9%85%D8%AA%D8%B1%D8%AC%D9%85.jpg
5 | Detective Conan Movie 26 | 2023 | movie | https://egydead.fyi/wp-content/uploads/2023/12/%D9%81%D9%8A%D9%84%D9%85-Detective-Conan-Movie-26-2023-%D9%85%D8%AA%D8%B1%D8%AC%D9%85.jpg
6 | Suzume no Tojimari | 2022 | movie | https://tuktukhd.com/wp-content/uploads/2023/07/MV5BNGVkNDc3NjUtNTY5ZS00ZmE0LWE3YzctMDk2OTRlNTdiZWQwXkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_SX700.webp
7 | Mirai no Mirai | 2018 | movie | https://egydead.fyi/wp-content/uploads/2019/02/%D9%81%D9%8A%D9%84%D9%85-Mirai-no-Mirai-2018-%D9%85%D8%AA%D8%B1%D8%AC%D9%85.jpg
8 | Blue Giant | 2023 | movie | https://tuktukhd.com/wp-content/uploads/2023/11/MV5BMjA5OTI2OTMtZmFmMC00YzBhLTg2YzQtNmI3Y2E5MDc2ZmNjXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX700.webp
9 | Lupin III VS Cat’s Eye | 2023 | movie | https://tuktukhd.com/wp-content/uploads/2023/10/t9XXivYtzap9TPNQ5CWskzh5agF.webp
10 | Gold Kingdom and Water Kingdom | 2023 | movie | https://egydead.fyi/wp-content/uploads/2023/10/%D9%81%D9%8A%D9%84%D9%85-Gold-Kingdom-and-Water-Kingdom-2023-%D9%85%D8%AA%D8%B1%D8%AC%D9%85.jpg
