Total: 301 series
  'اسطنبول راسا على عقب alti ustu istanbul'               ->    1 eps, 1 season(s)
  'في السابعة عشرة daha 17'                               ->    3 eps, 1 season(s)
  'حب محتمل muhtemel ask'                                 ->    1 eps, 1 season(s)
  'الورود والخطايا'                                       ->   32 eps, 1 season(s)
  'الخليفة'                                               ->   35 eps, 1 season(s)
  'المؤسس أورهان'                                         ->   26 eps, 1 season(s)
  'أخي abi'                                               ->   18 eps, 1 season(s)
  'حلم اشرف الموسم الثاني'                                ->   34 eps, 1 season(s)
  'محمد الفاتح سلطان الفتوحات مترج'                       ->   83 eps, 1 season(s)
  'أطفال الجنة'                                           ->   22 eps, 1 season(s)
  'هذا البحر سوف يفيض'                                    ->   31 eps, 1 season(s)
  'جبل جونول'                                             ->  193 eps, 2 season(s)
  'انت من احب sevdigim sensin'                            ->   15 eps, 1 season(s)
  'اسم الرمز كرلانج'                                      ->   59 eps, 3 season(s)
  'حال ليلى leyla hali'                                   ->   10 eps, 1 season(s)
  'وفا سلطان'                                             ->   56 eps, 2 season(s)
  'القبيحة cirkin'                                        ->    8 eps, 1 season(s)
  'المدينة البعيدة الموسم الثاني م'                       ->   35 eps, 1 season(s)
  'تحت نفس المطر ayni yagmur altinda'                     ->    7 eps, 1 season(s)
  'حلم اشرف'                                              ->   47 eps, 1 season(s)
  'ميرا كأن كل شيء على ما يرام mira her sey yolundaym'    ->    8 eps, 1 season(s)
  'المدينة البعيدة'                                       ->   63 eps, 1 season(s)
  'المنظمة'                                               ->   12 eps, 1 season(s)
  'المحتالون'                                             ->   22 eps, 1 season(s)
  'عائشة ayse bir ruh macerasi'                           ->    3 eps, 1 season(s)
  'انا ليمان'                                             ->   13 eps, 1 season(s)
  'الشخصية 2025'                                          ->   10 eps, 1 season(s)
  'شراب التوت'                                            ->  138 eps, 1 season(s)
  'خفقان'                                                 ->   13 eps, 1 season(s)
  'الأراضي المباركة'                                      ->    6 eps, 1 season(s)
  'حب و دموع'                                             ->    7 eps, 1 season(s)
  'المشردون'                                              ->   51 eps, 1 season(s)
